word,word_id,description,difficulty,length,phonetic
vial,100001,a small container used for holding liquid medicines,easy,4,/ˈvʌɪəl/
cyst,100002,vesicle in the body.,easy,4,/sɪst/
yelp,100003,To boast,easy,4,/jɛlp/
wimp,100004,fail to do or complete something as a result of fear or lack of confidence.,easy,4,/wɪmp/
fawn,100005,a young deer,easy,4,/fɔːn/
duet,100006,A composition for two performers,easy,4,/djʊɛt/
noel,100007,a Christmas carol.,easy,4,/nəʊˈɛl/
juke,100008,make a sham move to mislead an opponent,easy,4,/dʒuːk/
wisp,100009,"A small bunch or bundle, as of straw",easy,4,/wɪsp/
faux,100010,Artificial; fake.,easy,4,/fəʊ/
quip,100011,"A smart, sarcastic answer",medium,4,/kwɪp/
kith,100012,Acquaintance,medium,4,/kɪθ/
waif,100013,Something found and unclaimed,medium,4,/weɪf/
swig,100014,drink in large gulps.,medium,4,/swɪɡ/
sync,100015,making things work together,medium,4,/sɪŋk/
duos,100016,"a pair of people or things,",medium,4,/ˈdjuːəʊ/
smew,100017,"A small merganser or fishing-duck,",medium,4,/smjuː/
ogre,100018,A giant or monster in legends,medium,4,/ˈəʊɡə/
arid,100019,Lacking interest or feeling; lifeless and dull.,medium,4,/ˈarɪd/
shea,100020,a small tropical African tree which bears oily nuts from which shea butter is obtained.,medium,4,/ˈʃiːə/
adze,100021,"A carpenter's or cooper's tool, formed with a thin arching blade set at right angles to the handle",hard,4,/adz/
tzar,100022,The emperor of Russia.,hard,4,"/zɑː,tsɑː/"
lynx,100023,One of the northern constellations,hard,4,/lɪŋks/
pyre,100024,a heap of combustible material,hard,4,/ˈpʌɪə/
quay,100025,a platform where goods and passengers are loaded on and off boats.,hard,4,/kiː/
ecru,100026,A beige colour.,hard,4,/ˈeɪkruː/
urns,100027,a special container,hard,4,/əːn/
byte,100028,made up of a series of eight smaller units,hard,4,/bʌɪt/
cavy,100029,a South American rodent with a sturdy body,hard,4,/ˈkeɪvi/
cyan,100030,a greenish-blue colour which is one of the primary subtractive colours,hard,4,/ˈsʌɪən/
poise,100031,graceful and elegant bearing in a person,easy,5,/pɔɪz/
quail,100032,feel or show fear or apprehension.,easy,5,/kweɪl/
anode,100033,the positively charged electrode by which the electrons leave an electrical device.,easy,5,/ˈanəʊd/
azoic,100034,having no trace of life or organic remains,easy,5,/eɪˈzəʊɪk/
